no_cidade,nota,data_ref
"Riversul","7.90675318433069","2011-12-31"
"Barra do Guarita","6.60919540229885","2011-12-31"
"Alcântara","10","2011-12-31"
"Murutinga do Sul","7.39291150250054","2011-12-31"
"Guabiruba","6.15717240082722","2011-12-31"
"Ibiara","9.02618866005594","2011-12-31"
"Filadélfia","10","2011-12-31"
"Rio do Pires","4.40538194444444","2011-12-31"
"Panambi","6.57232704402516","2011-12-31"
"Santana do Piauí","10","2011-12-31"
"Ouro Branco","5.97189074516043","2011-12-31"
"São João do Manteninha","10","2011-12-31"
"Arroio do Padre","10","2011-12-31"
"São Domingos","7.87296120916439","2011-12-31"
"Chiador","10","2011-12-31"
"Presidente Vargas","3.8917089678511","2011-12-31"
"Palmitos","10","2011-12-31"
"Turiúba","7.12187958883994","2011-12-31"
"Pau Brasil","8.52046504220417","2011-12-31"
"Santa Tereza do Tocantins","5.93076736867587","2011-12-31"
"Campo Alegre","2.6186244412129","2011-12-31"
"Mutunópolis","10","2011-12-31"
"Campestre de Goiás","9.37098844672657","2011-12-31"
"Barroso","8.69224394723286","2011-12-31"
"Itamogi","10","2011-12-31"
"Santo Antônio do Jacinto","9.87861029719548","2011-12-31"
"Viçosa do Ceará","8.70097235878947","2011-12-31"
"Itanhém","10","2011-12-31"
"Oliveira de Fátima","10","2011-12-31"
"Cedro de São João","6.25394250698387","2011-12-31"
"Santa Cecília","10","2011-12-31"
"Cabeceiras","7.19118365069401","2011-12-31"
"Capetinga","7.92302106027596","2011-12-31"
"Cajobi","9.75314030748339","2011-12-31"
"Sete Barras","10","2011-12-31"
"Santa Rita","7.65454716272078","2011-12-31"
"Quipapá","1.02464241834156","2011-12-31"
"Bujaru","1.5153815017203","2011-12-31"
"Nacip Raydan","5.99094392197841","2011-12-31"
"Feira de Santana","6.0066980915313","2011-12-31"
"Miradouro","7.26477641416279","2011-12-31"
"Sinop","6.51843500772475","2011-12-31"
"Relvado","8.82016036655212","2011-12-31"
"São Roque do Canaã","10","2011-12-31"
"Nova Cantu","8.63332684698709","2011-12-31"
"Santa Mercedes","10","2011-12-31"
"Santo Anastácio","9.94082053328014","2011-12-31"
"Mandaguari","7.08886729294893","2011-12-31"
"Lamarão","3.85559060637925","2011-12-31"
"Porto Seguro","6.37938759115066","2011-12-31"
"Cristalândia do Piauí","4.74879559532003","2011-12-31"
"Dores de Guanhães","8.36063945983517","2011-12-31"
"Barra de São Miguel","8.72442839951865","2011-12-31"
"Imigrante","5.52380952380952","2011-12-31"
"Vacaria","5.46274020612433","2011-12-31"
"Vila Boa","7.5253079643859","2011-12-31"
"Marialva","5.79099545642297","2011-12-31"
"Itaueira","6.95832729731035","2011-12-31"
"Vieirópolis","6.75934320539941","2011-12-31"
"São Bernardino","9.97496630078953","2011-12-31"
"Jupiá","10","2011-12-31"
"Manfrinópolis","10","2011-12-31"
"Nova Iguaçu de Goiás","10","2011-12-31"
"Leme do Prado","8.97945659377071","2011-12-31"
"Aporé","9.73014063093881","2011-12-31"
"Massaranduba","5.03121098626717","2011-12-31"
"Conquista","7.43645606390704","2011-12-31"
"Abaré","6.06000265498473","2011-12-31"
"Vila Flores","8.80267000417188","2011-12-31"
"Bela Vista","5.65656565656566","2011-12-31"
"Santa Maria da Serra","6.50157670191059","2011-12-31"
"Santa Maria","3.87562388393409","2011-12-31"
"Coqueiro Seco","3.43300110741971","2011-12-31"
"São José da Bela Vista","3.64494806421152","2011-12-31"
"Maetinga","10","2011-12-31"
"João Câmara","8.47676642373495","2011-12-31"
"Governador Nunes Freire","4.83982427563058","2011-12-31"
"Sengés","8.94498597572829","2011-12-31"
"Joaçaba","6.32816173013634","2011-12-31"
